Species,Catalog ID,library ID,Individual,Zooid,Reads examined,Reads aligned,Reads unaligned,Percent aligned
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-4-ATCACG,CMN0067E,specimen-2,Gastrozooid developing,1974283,1742552,223493,88.26252366048838
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-4-ATTCCT,CMN131,specimen-1,Pneumatophore,14725188,12634941,2070977,85.8049554273942
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-4-CTTGTA,CMN135,specimen-1,Gastrozooid developing,17009740,15417635,1502206,90.64003917755356
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-4-GAGTGG,CMN137,specimen-1,Gonodendron male,14980660,13046180,1917312,87.0868172697331
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-4-GCCAAT,CMN133,specimen-1,Gastrozooid mature,15842245,13177838,2590468,83.18163240121586
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-4-GTGAAA,CMN136,specimen-1,Palpons mature,17118695,15090758,2001047,88.1536705922969
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-4-GTTTCG,CMN134,specimen-1,Palpons developing,13747536,12148263,1580459,88.36683897390776
Physalia physalis,HISEQ2000-551-C9GMCACXX-5-ACAGTG,CMN139,specimen-1,Gastrozooid mature,20600287,18428391,2157715,89.45696241998958
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-5-ATCACG,CMN0067F,specimen-2,Gastrozooid developing,1750547,1543888,199522,88.19460431510836
Physalia physalis,HISEQ2000-551-C9GMCACXX-5-ATGTCA,CMN142,specimen-1,Tentacular palpon developing,19042669,16822619,2155027,88.34170777216156
Physalia physalis,HISEQ2000-551-C9GMCACXX-5-CTTGTA,CMN141,specimen-1,Tentacular palpon mature,22335800,19568356,2740283,87.60982816823216
Physalia physalis,HISEQ2000-551-C9GMCACXX-5-GAGTGG,CMN144,specimen-1,Tentacle developing,18114439,16176834,1921884,89.30353294407848
Physalia physalis,HISEQ2000-551-C9GMCACXX-5-GCCAAT,CMN140,specimen-1,Gastrozooid developing,22599889,19856425,2724806,87.86071913893029
Physalia physalis,HISEQ2000-551-C9GMCACXX-5-GTGAAA,CMN143,specimen-1,Tentacle mature,26271570,22388250,3852956,85.21854613180712
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-6-ATCACG,CMN0067G,specimen-2,Gastrozooid developing,1854484,1636823,209964,88.26298851863915
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-6-ATTCCT,CMN148,specimen-2,Palpons developing,24589957,22044418,2516427,89.64805428492616
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-6-CGTACG,CMN147,specimen-2,Gastrozooid developing,21982045,17828493,4094185,81.10479711964925
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-6-GATCAG,CMN146,specimen-2,Nectophore developing,22055455,13468109,8558712,61.064752461465886
Frillagalma vityazi,HISEQ2000-551-C9GMCACXX-6-GCCAAT,CMN0066F,specimen-2,Nectophore developing,2787514,2488366,291931,89.26828708304245
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-6-GTGAAA,CMN149,specimen-2,Gastrozooid mature,19232286,17041958,2134693,88.61119265801267
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-6-GTGGCC,CMN150,specimen-2,Gonodendron female,23307383,20306815,2980999,87.1261050629322
Nanomia bijuga,HISEQ2000-551-C9GMCACXX-6-TTAGGC,CMN145,specimen-2,Pneumatophore,24240983,20174270,4031836,83.22381150962401
Physalia physalis,HISEQ2000-551-C9GMCACXX-7-ACAGTG,CMN151,specimen-2,Gastrozooid mature,11034802,9720850,1290512,88.09265449438965
